POSTGRESQL,SQLSERVER,EXCEL,ORACLE,SAP_HANA,MYSQL,SNOWFLAKE,MONGO_DB
serial,smallint,int64,number,smallint,smallint,number,
bigserial,int,integer,number,integer,int,number,
int2,smallint,,number,smallint,smallint,number,int
int4,int,,number,integer,int,number,int
int8,bigint,,number,bigint,bigint,number,long
numeric,decimal,,number,decimal,decimal,decimal,decimal
numeric_without_prec_scale,varchar,,varchar2,varchar,varchar,varchar,double
float4,real,float64,binary_float,real,float,float,float
float8,float,,binary_double,double,double,float,double
money,float,,binary_double,double,double,varchar,
bytea,varbinary,,blob,varbinary,blob,binary,binData
varchar,varchar,object,varchar2,varchar,varchar,varchar,string
bpchar,varchar,,varchar2,varchar,varchar,varchar,string
text,varchar,,varchar2,varchar,varchar,varchar,string
cidr,varchar,,varchar2,varchar,varchar,varchar,string
inet,varchar,,varchar2,varchar,varchar,varchar,string
macaddr,varchar,,varchar2,varchar,varchar,varchar,string
macaddr8,varchar,,varchar2,varchar,varchar,varchar,string
bit,varchar,,varchar2,varchar,varchar,varchar,string
uuid,varchar,,varchar2,varchar,varchar,varchar,string
xml,varchar,,varchar2,varchar,varchar,varchar,string
json,text,,nclob,nclob,json,object,object
jsonb,text,,nclob,nclob,json,object,object
tsvector,,,varchar2,varchar,varchar,varchar,string
tsquery,,,varchar2,varchar,varchar,varchar,string
timestamp,datetime2,datetime64[ns],timestamp,timestamp,datetime,timestamp_ntz,isodate
timestamptz,datetime2,,timestamp,timestamp,datetime,timestamp_ntz,isodate
date,date,,date,date,DATE,date,isodate
time,time,,varchar2,time,time,time,isodate
timetz,time,,varchar2,time,time,time,isodate
interval,varchar,,varchar2,varchar,varchar,varchar,
point,varchar,,varchar2,varchar,varchar,varchar,object
line,varchar,,varchar2,varchar,varchar,varchar,object
lseg,varchar,,varchar2,varchar,varchar,varchar,object
box,varchar,,varchar2,varchar,varchar,varchar,object
path,varchar,,varchar2,varchar,varchar,varchar,object
polygon,varchar,,varchar2,varchar,varchar,varchar,object
circle,varchar,,varchar2,varchar,varchar,varchar,object
geometry,text,,nclob,nclob,json,geometry,object
array,varchar,,varchar2,varchar,varchar,varchar,array
composite,varchar,,varchar2,varchar,varchar,varchar,
range,varchar,,varchar2,varchar,varchar,varchar,
oid,bigint,,number,bigint,int unsigned,number,
pg_lsn,varchar,,varchar2,varchar,varchar,varchar,
bool,bit,bool,number,boolean,BIT,boolean,boolean
char,char,,char,varchar,CHAR,varchar,string
name,varchar,,varchar2,varchar,varchar,varchar,string
sl_timestamp,datetimeoffset,,timestamp,timestamp,datetime,timestamp_tz,isodate
character varying,,,,,,varchar,
timestamp without time zone,,,,,,timestamp_ntz,
timestamp with timestamp,,,,,,timestamp_tz,
character,,,,,,varchar,
integer,,,,,,number,
bigint,,,,,,number,
,datetime,,,,,timestamp_ntz,
,nvarchar,,,,,varchar,
,smalldatetime,,,,,timestamp_ntz,
,tinyint,,,,,number,
,binary,,,,,varchar,
boolean,,,,,,boolean,
text,,,,,,varchar,
